Document_ID,Source,Publication_Year,Page_Number,Chunk_ID,Language,Chunk_Text
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,8,Nigeria_MPCDSR_2022.pdf_8_3,English,"entre 
NDHS  
National Demographic Health Survey 
NISONM 
Nigerian Society of Neonatal Medicine 
NGO  
Non-Governmental Organization 
NHIS   
National Health Insurance Scheme 
NoQA  
Nigerian Obstetrics Quality Assurance"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,9,Nigeria_MPCDSR_2022.pdf_9_1,English,"NPC National Population Commission 
NPHCDA 
National Primary Health Care Development Agency 
NMCN 
Nursing and Midwifery Council of Nigeria 
OQA  
Obstetrics Quality Assurance 
P4R 
 
Performance for Result 
PAN  
Paediatric Association of Nigeria 
PHC  
Primary Health Care 
PHCC  
Primary Health Care Centre 
PDR  
Perinatal Death Review 
PDSR   
Perinatal Death Surveillance Response 
PMR  
Perinatal Mortality Rate 
PNA  
Paediatric Nurses Association 
QED  
Quality, Equity and Dignity 
QoC  
Quality of Care 
RH 
 
Reproductive Health 
R-RMCH 
Rotary-Reproductive Maternal and Child Health 
SA  
 
Social Autopsy 
SDG  
Sustainable Development Goals 
SEMCHIC 
State Emergency Maternal and Child Health Intervention Centre 
SMOH 
State Ministry of Health 
SOGON 
Society of Gynaecology and Obstetrics of Nigeria 
SPHCDA 
State Primary Health Care Development Agency 
TBA  
Traditional Birth Attendant 
TFR  
Total Fertility Rate 
UN 
 
United Nations 
VA 
 
Verbal Autopsy 
VVF  
Vesico-Vaginal Fistula 
WHO   
World Health Organization 
WRA   
Women of Reproductive Age"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,9,Nigeria_MPCDSR_2022.pdf_9_2,English,"nal Fistula 
WHO   
World Health Organization 
WRA   
Women of Reproductive Age"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,10,Nigeria_MPCDSR_2022.pdf_10_1,English,"2. DEFINITION OF TERMS 
Maternal Death 
This is “the death of a woman while pregnant or within 42 days of termination of pregnancy, 
irrespective of the duration and site of the pregnancy, from any cause related to or aggravated 
by the pregnancy or its management but not from accidental or incidental causes”. 
Pregnancy-Related Death 
This is “the death of a woman while pregnant or within 42 days of termination of pregnancy, 
irrespective of the cause of death”. 
Late Maternal Death 
“The death of a woman from direct or indirect obstetric causes, occurring more than 42 days, 
but less than one year after termination of pregnancy”. For example, a woman who dies from 
renal failure three months after delivery that was complicated by eclampsia. 
Severe Acute Maternal Morbidity (SAMM or “Near-miss”) 
“Any pregnant or recently delivered woman (within six weeks after termination of pregnancy 
or delivery), in whom immediate survival is threatened and who survives by chance or because 
of  the  hospital  care  she  receives”.  Examples  are:  women  with  VVF  or  ruptured  uterus  from 
prolonged obstructed labour; 
Maternal Mortality Cause Specific Case Fatality Rate 
The proportio"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,10,Nigeria_MPCDSR_2022.pdf_10_2,English,"f  the  hospital  care  she  receives”.  Examples  are:  women  with  VVF  or  ruptured  uterus  from 
prolonged obstructed labour; 
Maternal Mortality Cause Specific Case Fatality Rate 
The proportion of women with major obstetric complications who die within a 
specified reference period (usually one year). 
It is calculated as follows; 
     Number of deaths from specified obstetric complication x 100 
    Total number of women with the specified complication 
Perinatal Death 
A death that occurred around the time of birth; it includes both still births and early neonatal 
deaths. 
Perinatal Mortality Rate 
Perinatal Mortality Rate is calculated as; 
            Number of perinatal deaths (Still birth + Early Neonatal Death)     x 1000 
                 Total number of births (stillbirth + Livebirths) 
 
The perinatal period 
This  commences  at  28  completed  weeks  of  gestation  and  ends  seven  completed  days  after 
birth."
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,11,Nigeria_MPCDSR_2022.pdf_11_1,English,"Stillbirth 
This is death prior to the complete expulsion or extraction from its mother of a foetus/baby of 
28 weeks‟ gestation or more; the death is indicated when the foetus/baby does not breathe or 
show any other evidence of life, such as beating of the heart, pulsation of the umbilical cord or 
definite movement of voluntary muscles. However, where gestational age cannot be 
determined, birth weight of 1000grams or more should be used. 
 
Undelivered Foetal Death 
This involves the death of a foetus inside its dead mother, whose pregnancy is of gestational 
age of 28 weeks or more, and remains neither delivered nor expelled.  
 
Live Birth 
This  is  the  complete  expulsion  or  extraction  from  its  mother  of  a  foetus/baby  of  28  weeks‟ 
gestation  which  after  such  separation,  breathes  or  shows  any  other  evidence  of  life,  such  as 
beating  of  the  heart,  pulsation  of  the  umbilical  cord,  or  definite  movement  of  voluntary 
muscles, whether or not the umbilical cord has been cut or the placenta is attached; each foetus/ 
baby  of  such  a  birth  is  considered  live  birth.  However,  where  gestational  age  cannot  be 
determined, birth w"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,11,Nigeria_MPCDSR_2022.pdf_11_2,English,"ot the umbilical cord has been cut or the placenta is attached; each foetus/ 
baby  of  such  a  birth  is  considered  live  birth.  However,  where  gestational  age  cannot  be 
determined, birth weight of 1000grams or more could be used. 
 
Early Neonatal Deaths 
These are deaths of newborn babies occurring during their first seven days of life. 
 
Late Neonatal Deaths 
These are deaths of newborn babies occurring after the seventh day but not later than the 28
th 
day of life. 
Life Table 
A life table (also called a mortality table or actuarial table) is a table which shows, for each 
age,  what  the  probability  is  that  a  person  of  that  age  will  die  before  their  next  birthday 
(""probability of death""). In other words, it represents the survivorship of people from a certain 
population.  They  can  also  be  explained  as  a  long-term  mathematical  way  to  measure  a 
population's longevity. 
 
Infant Deaths 
These are the deaths of young children occurring within one year of birth."
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,11,Nigeria_MPCDSR_2022.pdf_11_3,English,one year of birth.
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,12,Nigeria_MPCDSR_2022.pdf_12_1,English,"Under-5 Deaths 
These are the deaths of young children between birth and the age of five years. 
 
Child Deaths 
These are deaths occurring between age 0 and 14 years (which includes neonatal, infant, under-
5, and early adolescent). For the purpose of this document, the focus will be on under-5. 
 
Medical Audits (MA) 
“It  is  a  systematic  and  critical  analysis  of  quality  of  care  which  includes  procedures  for 
diagnosis, treatment, care and outcomes for patients”. Its purpose is to appraise the extent to 
which individual patients were served with specific standards of care. The process 
consequently  reveals  any  substandard  practices  within  the  facility  (and  before  arriving  the 
facility)  which  when  remedied,  lead  to  improvement  in  quality  of  care  and  services  and 
preserves the lives of patients and the people. 
Before MA can be established in a facility, it is necessary that the service providers be trained 
and acquainted with the standard protocols and guidelines for service provision. These 
protocols  must  be  evidence-based  and  current,  to  ensure  quality  care  and  efficient  maternal, 
perinatal and child auditing. To achieve"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,12,Nigeria_MPCDSR_2022.pdf_12_2,English,"rotocols and guidelines for service provision. These 
protocols  must  be  evidence-based  and  current,  to  ensure  quality  care  and  efficient  maternal, 
perinatal and child auditing. To achieve these, good record keeping is essential. 
The principles of MA include; 
• 
A constant quest for service improvement. 
• 
Upholding of evidence-based practices. 
• 
Non-punitive approaches; (no name, no blame). 
• 
Respecting human rights and confidentiality. 
MA takes the form of a process that involves cycle of events as shown in figure 1."
